Site,SiteTreatment,Treatment,Species,TAG,IndTag,SpruceDensity,AspenDensity,BirchDensity,WillowDensity,TotalDensity,Decid:conif,Height2013,Height2014,AnnHGr2014,Height2015,FinalHeightGr,AnnHGr,PosFinalHeightGr,PropHGr,PropHGr20142015,Basal2013,Basal2014,Basal2015,FinalBasalGr,PropBasalGr,DBH2013,DBH2014,DBH2015,CrownDepth2013,CrownDepth2014,CrownDepth2015,CrownWidth2013,CrownWidth2014,CrownWidth2015,CrownPerp2013,CrownPerp2014,CrownPerp2015,CrownWmean2014,CrownWmean2015,PropCrownWidthChange,PropCrownDepthChange,CrownRatio2014,CrownRatio2015,ChangeInCrownRatio,Winter2014Herb,Health2013,Health2014,Health2015,PastHerbivory2013,Alive2013,Alive2014,Alive2015,LeafLength2013,LeafLength2014,LeafLength2015,PropLeafChange,Winter2015Herb,LeafLengthAdjusted2015,AdjPropLeafChange,Height2017,Basal2017,DBH2017,CrownDepth2017,CrownWidth2017,CrownPerp2017,CrownWMean2017,Health,Alive2017,Notes,Browsed2017,FinalPropHeightChange,FinalPropBasalChange,FinalPropCrownD,FinalPropCrownW
BF72,BF72C,Control,aspen,TA1,BF72CTA1,2.7,5.9,5.75,3.6,17.95,4.314814815,86,91,5,114,28,14,75.1,32.55813953,25.27472527,7,7,10,3,42.85714286,4,na,na,na,64,86,na,20,22,na,15,22,17.5,22,25.71428571,34.375,3.657142857,3.909090909,0.251948052,0,na,4,4,0,1,1,1,na,29.9,64.2,114.7157191,0,44.94,50.30100334,123,10.7,na,74,34,17,25.5,3,1,,0,30.08130081,34.57943925,13.51351351,31.37254902
BF72,BF72C,Control,aspen,TA10,BF72CTA10,2.7,5.9,5.75,3.6,17.95,4.314814815,38,43,5,39,1,0.5,48.1,2.631578947,-9.302325581,5,5,7,2,40,na,na,na,na,19,20,na,13,21,na,13,13,13,17,30.76923077,5.263157895,1.461538462,1.176470588,-0.285067874,0,na,1,2,0,1,1,1,na,27.4,44.7,63.13868613,0,31.29,14.19708029,62,7.1,na,28,23,16,19.5,3,1,,0,38.70967742,29.57746479,32.14285714,33.33333333
BF72,BF72C,Control,aspen,TA12,BF72CTA12,2.7,5.9,5.75,3.6,17.95,4.314814815,38,60,22,64,26,13,73.1,68.42105263,6.666666667,3,7,7,4,133.3333333,na,na,na,na,44,42,na,12,16,na,11,12,11.5,14,21.73913043,-4.545454545,3.826086957,3,-0.826086957,0,na,1,2,0,1,1,1,na,25.4,40.3,58.66141732,0,28.21,11.06299213,92,5.8,na,50,15,14,14.5,4,1,,0,58.69565217,48.27586207,12,20.68965517
BF72,BF72C,Control,aspen,TA13,BF72CTA13,2.7,5.9,5.75,3.6,17.95,4.314814815,19,31,12,37,18,9,65.1,94.73684211,19.35483871,2,2,3,1,50,na,na,na,na,9,10,na,8,9,na,7,8,7.5,8.5,13.33333333,11.11111111,1.2,1.176470588,-0.023529412,0,na,0,1,0,1,1,1,na,29.25,43.66666667,49.2877493,0,30.56666667,4.501424509,57,4,na,18,12,12,12,3,1,,0,66.66666667,50,50,37.5
BF72,BF72C,Control,aspen,TA14,BF72CTA14,2.7,5.9,5.75,3.6,17.95,4.314814815,85,116,31,142,57,28.5,104.1,67.05882353,22.4137931,7,8,8,1,14.28571429,na,na,2,na,87,98,na,61,42,na,38,33,49.5,37.5,-24.24242424,12.64367816,1.757575758,2.613333333,0.855757575,0,na,4,2,0,1,1,1,na,31.7,47.6,50.15772871,0,33.32,5.110410095,169,9,3.5,83,35,30,32.5,4,1,,0,49.70414201,22.22222222,-4.819277108,-52.30769231
BF72,BF72C,Control,aspen,TA15,BF72CTA15,2.7,5.9,5.75,3.6,17.95,4.314814815,29,35,6,39,10,5,57.1,34.48275862,11.42857143,3,5,4,1,33.33333333,na,na,na,na,15,16,na,9,12,na,6,7,7.5,9.5,26.66666667,6.666666667,2,1.684210526,-0.315789474,0,na,1,1,0,1,1,1,na,19.2,28.2,46.875,0,19.74,2.8125,32,3.7,na,8,14,6,10,2,1,,0,9.375,18.91891892,-87.5,25
BF72,BF72C,Control,aspen,TA17,BF72CTA17,2.7,5.9,5.75,3.6,17.95,4.314814815,30,39,9,39,9,4.5,56.1,30,0,3,6,6,3,100,na,na,na,na,24,23,na,12,15,na,9,11,10.5,13,23.80952381,-4.166666667,2.285714286,1.769230769,-0.516483517,0,na,1,2,0,1,1,1,na,22.1,42.8,93.66515837,0,29.96,35.56561086,58,7,na,43,30,23,26.5,1,1,,0,48.27586207,57.14285714,44.18604651,60.37735849
BF72,BF72C,Control,aspen,TA18,BF72CTA18,2.7,5.9,5.75,3.6,17.95,4.314814815,45,52,7,52,7,3.5,54.1,15.55555556,0,3,5,6,3,100,na,na,na,na,30,24,na,12,13,na,9,9,10.5,11,4.761904762,-20,2.857142857,2.181818182,-0.675324675,0,na,0,1,0,1,1,1,na,21.4,35.3,64.95327103,0,24.71,15.46728972,73,6,na,42,15,13,14,3,1,,0,38.35616438,50,28.57142857,25
BF72,BF72C,Control,aspen,TA19,BF72CTA19,2.7,5.9,5.75,3.6,17.95,4.314814815,21,28,7,29,8,4,55.1,38.0952381,3.571428571,2,3,3,1,50,na,na,na,na,10,11,na,8,9,na,7,7,7.5,8,6.666666667,10,1.333333333,1.375,0.041666667,0,na,1,2,0,1,1,1,na,22.1,32.7,47.9638009,0,22.89,3.574660633,30,3.4,na,9,19,17,18,4,1,,0,30,41.17647059,-11.11111111,58.33333333
BF72,BF72C,Control,aspen,TA20,BF72CTA20,2.7,5.9,5.75,3.6,17.95,4.314814815,38,47,9,49,11,5.5,58.1,28.94736842,4.255319149,4,5,5,1,25,na,na,na,na,28,26,na,18,15,na,9,14,13.5,14.5,7.407407407,-7.142857143,2.074074074,1.793103448,-0.280970626,0,na,1,1,0,1,1,1,na,30.1,49.7,65.11627907,0,34.79,15.58139535,55,6.9,na,29,29,29,29,4,1,,0,30.90909091,42.02898551,3.448275862,53.44827586
