"Scenario","TSF","Site","species","mean","sd","low","high","Data","Variable"
"Browsing",8,"BF72","Bene",1.24,0.3577013602964,-0.8822986397036,1.5977013602964,"Field","Height"
"Browsing",8,"BF72","Pima",0.15,0.0752259753570604,-0.0747740246429396,0.22522597535706,"Field","Height"
"Browsing",8,"BF72","Potr",0.61,0.398807102824358,-0.211192897175642,1.00880710282436,"Field","Height"
"Browsing",8,"BF76","Bene",1.97,0.606088407655795,-1.36391159234421,2.57608840765579,"Field","Height"
"Browsing",8,"BF76","Pima",0.24,0.165701062474756,-0.0742989375252435,0.405701062474756,"Field","Height"
"Browsing",8,"BF76","Potr",1.16,0.550163612028277,-0.609836387971723,1.71016361202828,"Field","Height"
"Browsing",8,"BF79","Bene",1.17,0.360520092147588,-0.809479907852412,1.53052009214759,"Field","Height"
"Browsing",8,"BF79","Pima",0.23,0.130403220819119,-0.0995967791808807,0.360403220819119,"Field","Height"
"Browsing",8,"BF79","Potr",0.63,0.253179258317314,-0.376820741682686,0.883179258317314,"Field","Height"
"Browsing",8,"BF82","Bene",1.25,0.538714600742018,-0.711285399257982,1.78871460074202,"Field","Height"
"Browsing",8,"BF82","Pima",0.2,0.111897509496767,-0.0881024905032335,0.311897509496767,"Field","Height"
"Browsing",8,"BF82","Potr",0.32,0.16199009066509,-0.15800990933491,0.48199009066509,"Field","Height"
"Browsing",8,"BF84","Bene",0.67,0.330945614867458,-0.339054385132542,1.00094561486746,"Field","Height"
"Browsing",8,"BF84","Pima",0.27,0.12359100631561,-0.14640899368439,0.39359100631561,"Field","Height"
"Browsing",8,"BF84","Potr",0.26,0.0861455316982776,-0.173854468301722,0.346145531698278,"Field","Height"
"Browsing",8,"BF86","Bene",1.34,0.603816589441041,-0.736183410558959,1.94381658944104,"Field","Height"
"Browsing",8,"BF86","Pima",0.33,0.145510896680048,-0.184489103319952,0.475510896680048,"Field","Height"
"Browsing",8,"BF86","Potr",0.36,0.282933412288958,-0.0770665877110417,0.642933412288958,"Field","Height"
"Browsing",9,"BF72","Bene",1.69,0.486082893082413,-1.20391710691759,2.17608289308241,"Field","Height"
"Browsing",9,"BF72","Pima",0.24,0.086778605173104,-0.153221394826896,0.326778605173104,"Field","Height"
"Browsing",9,"BF72","Potr",0.75,0.426188740002904,-0.323811259997096,1.1761887400029,"Field","Height"
"Browsing",9,"BF76","Bene",2.51,0.709031028940201,-1.8009689710598,3.2190310289402,"Field","Height"
"Browsing",9,"BF76","Pima",0.33,0.198076938799575,-0.131923061200425,0.528076938799575,"Field","Height"
"Browsing",9,"BF76","Potr",1.37,0.768672642663278,-0.601327357336722,2.13867264266328,"Field","Height"
"Browsing",9,"BF79","Bene",1.23,0.389573315848317,-0.840426684151683,1.61957331584832,"Field","Height"
"Browsing",9,"BF79","Pima",0.31,0.155626915545176,-0.154373084454824,0.465626915545176,"Field","Height"
"Browsing",9,"BF79","Potr",0.72,0.257847364070092,-0.462152635929908,0.977847364070092,"Field","Height"
"Browsing",9,"BF82","Bene",1.43,0.627598691011274,-0.802401308988726,2.05759869101127,"Field","Height"
"Browsing",9,"BF82","Pima",0.26,0.131248057629738,-0.128751942370262,0.391248057629738,"Field","Height"
"Browsing",9,"BF82","Potr",0.38,0.214222379947043,-0.165777620052957,0.594222379947043,"Field","Height"
"Browsing",9,"BF84","Bene",0.76,0.360124247564935,-0.399875752435065,1.12012424756493,"Field","Height"
"Browsing",9,"BF84","Pima",0.3,0.116885008718646,-0.183114991281354,0.416885008718646,"Field","Height"
