burn	site	block	spp	Ht (cm)	BD (cm)	DBH (cm)
TC	1	8	BS			
TC	1	9	BS			
TC	1	10	BS	24	0.38	
TC	1	11	BS	12	0.47	
TC	1	12	BS	44	0.64	
TC	1	13	BS	19	0.51	
TC	1	14	BS	16	0.42	
TC	4	8	BS			
TC	4	9	BS			
TC	4	10	BS	29	0.44	
TC	4	11	BS			
TC	4	12	BS			
TC	4	13	BS	28	0.46	
TC	4	14	BS	91	1.65	
TC	8	8	BS	28	0.70	
TC	8	9	BS	84	1.58	
TC	8	10	BS			
TC	8	11	BS	102	1.94	
TC	8	12	BS	76	1.22	
TC	8	13	BS			
TC	8	14	BS	28	0.44	
TC	10	8	BS			
TC	10	9	BS			
TC	10	10	BS			
TC	10	11	BS			
TC	10	12	BS	53	0.85	
TC	10	13	BS	58	0.57	
TC	10	14	BS	20	0.44	
TC	13	8	BS			
TC	13	9	BS			
TC	13	10	BS			
TC	13	11	BS	66	0.85	
TC	13	12	BS	38	0.64	
TC	13	13	BS	40	0.50	
TC	13	14	BS	56	0.76	
TC	14	8	BS	45	0.74	
TC	14	9	BS			
TC	14	10	BS	34	0.53	
TC	14	11	BS	88	2.10	
TC	14	12	BS	60	0.93	
TC	14	13	BS			
TC	14	14	BS			
TC	19	8	BS	43	1.11	
TC	19	9	BS			
TC	19	10	BS			
TC	19	11	BS			
TC	19	12	BS			
TC	19	13	BS	87	1.46	
TC	19	14	BS	82	1.39	
TC	23	8	BS	113	1.85	
TC	23	9	BS	150	2.55	0.68
TC	23	10	BS	122	2.39	
TC	23	11	BS	40	0.67	
TC	23	12	BS	119	3.75	
TC	23	13	BS			
TC	23	14	BS			
TC	24	8	BS	69	1.37	
TC	24	9	BS	121	2.53	
TC	24	10	BS			
TC	24	11	BS	58	1.05	
TC	24	12	BS			
TC	24	13	BS	83	1.66	
TC	24	14	BS			
TC	25	8	BS			
TC	25	9	BS			
TC	25	10	BS			
TC	25	11	BS	30	0.72	
TC	25	12	BS	69	0.85	
TC	25	13	BS	12	0.31	
TC	25	14	BS	45	0.58	
TC	26	8	BS			
TC	26	9	BS			
TC	26	10	BS			
TC	26	11	BS	62	1.15	
TC	26	12	BS	44	0.94	
TC	26	13	BS	56	0.85	
TC	26	14	BS	26	0.47	
TC	27	8	BS			
TC	27	9	BS	41	0.77	
TC	27	10	BS	34	0.37	
TC	27	11	BS	36	0.69	
TC	27	12	BS	34	0.64	
TC	27	13	BS	78	1.18	
TC	27	14	BS	56	0.80	
TC	29	8	BS			
TC	29	9	BS			
TC	29	10	BS			
TC	29	11	BS	79	1.36	
TC	29	12	BS	32	0.54	
TC	29	13	BS	121	1.57	
TC	29	14	BS	69	1.14	
DC	30	8	BS	212	3.40	1.49
DC	30	9	BS	145	2.21	0.65
DC	30	10	BS	119	2.03	
DC	30	11	BS	195	3.12	1.15
DC	30	12	BS	171	2.77	0.89
DC	30	13	BS	142	2.16	0.59
DC	30	14	BS	101	2.25	
DC	31	8	BS	155	3.30	0.89
DC	31	9	BS	122	2.54	
DC	31	10	BS	104	1.72	
DC	31	11	BS	160	2.80	1.11
DC	31	12	BS	160	3.51	0.69
DC	31	13	BS	108	2.08	
DC	31	14	BS	106	1.95	
DC	34	8	BS	48	0.92	
DC	34	9	BS	111	1.67	
DC	34	10	BS	47	0.91	
DC	34	11	BS	51	1.16	
DC	34	12	BS	69	1.05	
DC	34	13	BS			
DC	34	14	BS			
DC	35	8	BS	76	1.16	
DC	35	9	BS			
DC	35	10	BS	59	0.98	
DC	35	11	BS	135	2.31	
DC	35	12	BS	87	1.38	
DC	35	13	BS	97	1.67	
DC	35	14	BS	66	0.92	
DC	37	8	BS	50	0.70	
DC	37	9	BS	30	0.40	
DC	37	10	BS	51	0.69	
DC	37	11	BS	43	0.66	
DC	37	12	BS	55	0.95	
DC	37	13	BS	110	1.37	
DC	37	14	BS	56	0.73	
DC	39	8	BS	65	0.75	
DC	39	9	BS			
DC	39	10	BS	58	0.91	
DC	39	11	BS	49	0.80	
DC	39	12	BS	43	0.75	
DC	39	13	BS			
DC	39	14	BS	69	0.89	
DC	40	8	BS	65	1.22	
DC	40	9	BS	19	0.56	
DC	40	10	BS	18	0.60	
DC	40	11	BS	28	0.57	
DC	40	12	BS	26	0.51	
DC	40	13	BS	25	0.70	
DC	40	14	BS	17	0.46	
DC	42	8	BS	40	0.68	
DC	42	9	BS	19	0.44	
DC	42	10	BS	47	0.69	
DC	42	11	BS			
DC	42	12	BS	22	0.44	
DC	42	13	BS	32	0.70	
DC	42	14	BS	51	0.72	
DC	44	8	BS	47	0.78	
DC	44	9	BS	83	1.29	
DC	44	10	BS	37	0.70	
DC	44	11	BS			
DC	44	12	BS	73	1.20	
DC	44	13	BS			
DC	44	14	BS	56	1.12	
DC	46	8	BS	24	0.69	
DC	46	9	BS			
DC	46	10	BS	148	2.62	0.46
DC	46	11	BS	63	1.68	
DC	46	12	BS	78	1.32	
DC	46	13	BS	54	0.91	
DC	46	14	BS	72	0.95	
DC	49	8	BS			
DC	49	9	BS	42	0.60	
