burn	site	blk	spp	diam06	ht_new_06	diam08	ht_new_08	diam11	ht11	diam13	ht13	diam15	ht15
TC	1	8	BS	2.8	0.6	NA	NA	NA	NA	NA	NA	NA	NA
TC	1	9	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	1	10	BS	1.4	1.2	NA	NA	1.8	12.6	NA	NA	0.38	24
TC	1	11	BS	1.3	0.8	1.5	1.6	3.8	9.8	0.28	11	0.47	12
TC	1	12	BS	1.4	1.1	2.1	0	1.9	15.5	0.16	17	0.64	44
TC	1	13	BS	1	1.7	2.9	1.5	2.9	11	0.36	17	0.51	19
TC	1	14	BS	1.4	1.2	NA	NA	2.1	8.6	0.16	13	0.42	16
TC	4	8	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	9	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	4	10	BS	NA	NA	NA	NA	2.5	12.6	0.31	21	0.44	29
TC	4	11	BS	1.4	0.8	2.4	1.1	NA	NA	NA	NA	NA	NA
TC	4	12	BS	1.2	1.9	2.5	1.2	NA	NA	NA	NA	NA	NA
TC	4	13	BS	1.5	0.9	2.6	1	3.6	15.5	0.31	21	0.46	28
TC	4	14	BS	1.2	1.1	NA	NA	9.8	54.2	1.26	80	1.65	91
TC	8	8	BS	1.2	1.4	2.6	0.6	4	22.5	0.44	26	0.70	28
TC	8	9	BS	1.5	1.4	4.3	0.4	8.5	59.2	0.96	73	1.58	84
TC	8	10	BS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TC	8	11	BS	1.4	1.6	3	1	8.1	57.3	1.05	76	1.94	102
TC	8	12	BS	1.4	2.4	3.7	1.1	7.1	45.1	0.72	56	1.22	76
TC	8	13	BS	1.4	0.3	3.5	1.1	NA	NA	NA	NA	NA	NA
TC	8	14	BS	1.1	0.3	3.2	0.5	3	18.2	0.29	26	0.44	28
TC	10	8	BS	1.5	2	2.9	0.5	NA	NA	NA	NA	NA	NA
