burn,site,type,traj.2017,RSN,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,asp.folded,lat.rad,slope.rad,aspect.rad,ln(Htload),insolation,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,mortality (%),%Can.cons,last.fire,oldest.tree,recruit.type,ave.age,CBI.total,CBI.Under,CBI.Over,CBI.substrate,PreFireOrg,%OrgLoss,Resid.org,Resid.CV,org.dep.2011,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,BS.ba.stg,TA.dens,TA.ba,PB.dens,PB.ba,Dec.nstand
TC,1,int,decid,,moist,high,6,68.3,59,71.7,600,64.0574978,-142.0202229,3,155,110,1.118,0.052,1.920,-0.621,0.784,6.9,41.6,40.0,18.4,4,3,12-Jul-04,194,100,73.1,30,30,2,28,2.09,2.18,1.84,2.3,9.9,63.7,3.1,0.85,8.2,45,52,0,0.069,2.04,0.58,0.8,0.5,0,0,0.025,0.240920887,3
TC,4,int,spruce,TKN0149,moist,low,4,46.3,75.8,48.7,697,64.0199434,-142.0867092,4,198,153,1.117,0.070,2.670,-0.578,0.796,4.9,52.2,35.4,12.4,4,1,19-Jun-04,171,95,66.4,100,159,3,107,1.39,1.13,2.02,0.5,26.3,31.7,16.3,0.40,13.0,73,5,17,0.227,8.35,1.55,9.5,9.4,0,0,0,0,3
TC,8,int,spruce,,moist,low,3,63.7,50.6,51.0,653,63.9603666,-142.1695182,4,180,135,1.116,0.070,2.356,-0.586,0.799,6.5,22.2,63.4,14.4,4,0,20-Jun-04,172,100,98.0,95,95,2,89,2.26,1.89,3,0.8,18.5,46.3,10.8,0.53,9.7,62,13,18,0.122,3.47,0.92,10.3,10.3,0.1,7.007584213,0.011111111,0.031503193,3
TC,10,int,mixed,,moist,high,5,48.0,56.4,60.3,722,63.84834,-142.22064,6,288,117,1.114,0.105,2.042,-0.582,0.731,5.6,23.2,62.4,14.4,2,1,17-Jul-04,199,98,75.5,47,47,2.1,38,2.11,2.19,1.9,2.25,18.9,65.5,7.8,1.08,11.3,43,55,0,0.066,1.86,1.20,3.1,1.3,0,0,0,0,4
TC,13,treeline,decid,TKN0218,NA,NA,3,26.6,51.2,32.0,1022,63.658345,-142.2900212,8,282,123,1.111,0.140,2.147,-0.547,0.732,5.2,35.6,55.2,9.2,1,1,24-Aug-04,237,30,67.0,66,66,2.1,59,1.77,1.64,2.18,1,24.4,55.5,11.3,1.21,9.0,20,7,47,0.136,3.61,0.18,4.7,3.0,0,0,0,0,7
TC,14,treeline,mixed,,NA,NA,3,23.6,24.6,30.3,985,63.6304745,-142.3082313,4,255,150,1.111,0.070,2.618,-0.571,0.769,5.0,34.0,54.8,11.2,2,1,12-Jul-04,194,100,83.0,73,73,2.1,65,1.98,1.98,NA,1.5,12.7,77.3,4.4,0.85,4.7,17,7,52,0.065,1.95,0.12,0.3,0.3,0,0,0,0,5
TC,19,int,open,,dry,low,2,23.6,27.6,23.0,890,63.5398766,-142.3896237,0,90,45,1.109,0.000,0.785,-0.634,0.760,4.7,22.0,70.8,7.2,4,0,25-Jun-04,175,100,86.9,95,95,2,90,2.45,2.03,2.96,1.25,18.7,72.2,7.5,0.69,10.7,77,3,20,0.109,3.34,0.58,18.7,18.5,0,0,0,0,7
TC,23,int,decid,TKN0152,dry,high,3,24.5,34,33.0,870,63.460388,-142.4682762,4,142,97,1.108,0.070,1.693,-0.618,0.795,5.2,22.6,61.0,16.4,2,0,26-Jun-04,178,100,89.5,96,96,2.1,87,2.47,2.27,2.96,2.05,19.2,72.5,4.2,1.01,8.7,75,15,8,0.104,3.06,0.94,18.0,10.8,0,0,0,0,7
TC,24,int,open,,dry,low,2,34.5,23.8,21.7,870,63.4618322,-142.4703648,0,90,45,1.108,0.000,0.785,-0.633,0.761,4.7,39.2,50.4,10.4,2,0,26-Jun-04,178,100,88.8,99,99,2,94,2.1,1.76,2.94,0.75,24.8,60.0,8.2,0.52,10.0,83,5,12,0.141,4.57,0.88,27.3,26.0,0,0,0,0,7
TC,25,int,spruce,TKN0154,moist,low,5,56.3,53.6,57.3,800,63.4215899,-142.4827476,4,40,5,1.107,0.070,0.087,-0.737,0.725,5.5,25.2,70.4,4.4,5,1,29-Jun-04,181,100,66.9,173,173,1,147,1.74,1.43,2.56,0.83,26.0,38.6,16.6,0.26,9.3,53,0,37,0.148,4.17,1.00,8.1,8.0,0,0,0,0,4
TC,26,int,open,TKN0153,dry,low,3,52.6,57.6,54.0,787,63.5214039,-142.3907223,2,123,78,1.109,0.035,1.361,-0.641,0.772,5.4,16.8,60.8,22.4,3,3,24-Jun-04,176,100,80.5,101,101,2,97,2.03,1.76,2.7,0.75,29.6,44.3,16.3,0.29,6.7,80,0,17,0.277,7.18,1.17,7.9,7.4,0,0,0,0,7
TC,27,int,spruce,TKN0155,moist,low,4,55.9,53.6,44.5,790,63.4061793,-142.4720832,3,66,21,1.107,0.052,0.367,-0.701,0.747,5.5,31.8,65.8,2.4,2,3,1-Jul-04,183,100,72.9,172,172,2.1,165,1.71,1.37,2.6,1,36.5,45.4,18.3,0.41,12.0,68,8,23,0.217,5.24,1.34,9.9,9.1,0,0,0,0,7
