burn,site,block,spp,HT_2013,BD_2013,DBH_2013,DFoliage_13,HT_2015,BD_2015,DBH_2015,DFoliage_15,ConesF_15,ConesM_15,Herbivory_15,Dieback_15,Harves1_15,StatePrior,Notes
TC,1,8,LP,,,,,,,,,,,,,,dead,
TC,1,9,LP,18,0.5,,1,23,0.62,,1,,,,,,,
TC,1,10,LP,,,,,,,,,,,,,,dead,
TC,1,11,LP,58,1.21,,0,113,2.82,,,,,,,1,,
TC,1,12,LP,,,,,,,,,,,,,,dead,
TC,1,13,LP,12,0.3,,0,23,0.80,,,,,,,,,
TC,1,14,LP,,,,,,,,,,,,,,dead,
TC,4,8,LP,,,,,,,,,,,,,,dead,
TC,4,9,LP,,,,,,,,,,,,,,dead,
TC,4,10,LP,53,0.78,,0,60,1.11,,1,,,1,,1,,defoliation along one side of the stem
TC,4,11,LP,,,,,,,,,,,,,,dead,
TC,4,12,LP,,,,,,,,,,,,,,dead,
TC,4,13,LP,36,0.74,,1,40,0.84,,1,,,,,,,chlorotic
TC,4,14,LP,,,,,15,0.44,,,,,,,,,chlorotic
TC,8,8,LP,39,0.6,,0,50,0.95,,,,,,,,,
TC,8,9,LP,71,1.27,,1,105,2.32,,,,,,,1,,
TC,8,10,LP,,,,,,,,,,,,,,dead,
TC,8,11,LP,16,0.29,,0,22,0.42,,2,,,,,,,
TC,8,12,LP,,,,,,,,,,,,,,dead,
TC,8,13,LP,14,0.22,,0,19,0.35,,,,,,,,,
TC,8,14,LP,21,0.38,,0,27,0.49,,,,,,,,,
TC,10,8,LP,,,,,,,,,,,,,,dead,
TC,10,9,LP,29,0.72,,1,41,0.98,,1,,,,,,,
TC,10,10,LP,,,,,,,,,,,,,,dead,
TC,10,11,LP,,,,,,,,,,,,,,dead,
TC,10,12,LP,22,0.44,,0,40,0.58,,,,,,,,,
TC,10,13,LP,75,1.04,,0,111,2.05,,,,,,,1,,
TC,10,14,LP,19,0.48,,0,27,0.49,,,,,,,,,
TC,13,8,LP,64,1.21,,1,,,,,,,,,,harvested,
TC,13,9,LP,21,0.41,,0,,,,,,,,,,harvested,
TC,13,10,LP,49,1.19,,0,,,,,,,,,,harvested,
TC,13,11,LP,34,1.01,,1,49,1.10,,,,,,,,,
TC,13,12,LP,25,0.51,,0,39,0.81,,,,,,,,,
TC,13,13,LP,21,0.35,,,15,0.44,,1,,,,1,,,
TC,13,14,LP,40,0.68,,0,54,0.80,,,,,,,1,,
TC,14,8,LP,112,2.58,,1,161,4.64,0.88,,,,,1,,,
TC,14,9,LP,50,0.78,,3,73,1.08,,1,,,,,,,
TC,14,10,LP,131,1.51,,1,184,5.46,2.01,,3,,,,1,,
TC,14,11,LP,65,1.06,,1,99,1.88,,,,,,,,,
