burn,site,blk,spp,orgdep,health05,diam06,ht06,live06,herb06,health08,ht08,diam08,hbro08,leafm08,db08,brok08,aph08,live11,diam11,ht11,har11,wtnew11,wtold11,wttot11
TC,1,1,BS,6,0,1.4,1.2,1,0,1,0.8,2.6,0,0,0,0,0,1,2.5,12.6,0,NA,NA,NA
TC,1,2,BS,14,0,1.4,1.5,1,0,1,2.2,3.4,0,0,0,0,0,1,1.5,17.2,0,NA,NA,NA
TC,1,3,BS,4,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,4,BS,8,0,2.5,1.7,1,0,2,0.4,2.5,0,0,0,0,0,1,5.8,17.6,0,NA,NA,NA
TC,1,5,BS,6,0,1,1,1,0,1,0.9,2.6,0,0,0,0,0,1,2.4,17.2,1,0.5,0.6,1.1
TC,1,6,BS,1,NA,1.4,1.5,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,7,BS,1,1,1,1.2,1,0,1,1.3,2.1,0,0,1,0,0,1,2.1,10.5,1,0.3,0.7,1
TC,1,8,BS,5,2,2.8,0.6,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,9,BS,3,2,NA,NA,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,10,BS,3,2,1.4,1.2,1,0,0,NA,NA,0,0,0,0,0,1,1.8,12.6,0,NA,NA,NA
TC,1,11,BS,0,2,1.3,0.8,1,0,1,1.6,1.5,0,0,0,0,0,1,3.8,9.8,0,NA,NA,NA
TC,1,12,BS,2,2,1.4,1.1,1,0,2,0,2.1,0,0,1,0,0,1,1.9,15.5,0,NA,NA,NA
TC,1,13,BS,3,0,1,1.7,1,0,1,1.5,2.9,0,0,0,0,0,1,2.9,11,0,NA,NA,NA
TC,1,14,BS,5,0,1.4,1.2,1,0,0,NA,NA,0,0,0,0,0,1,2.1,8.6,0,NA,NA,NA
TC,1,1,LP,6,1,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,2,LP,14,2,2.8,1.4,1,0,1,1.5,3.2,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,3,LP,4,2,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,4,LP,8,1,1.9,2.1,1,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,NA,NA
TC,1,5,LP,6,1,1.4,0.9,1,0,1,1.2,2.2,0,0,0,0,0,1,2.8,12,1,0.5,0.7,1.2
TC,1,6,LP,1,0,1.4,1.3,1,0,1,2.9,0.5,0,0,1,0,0,0,NA,NA,0,NA,NA,NA
