burn,site,blk,spp,diam06,ht_new_06,diam08,ht_new_08,diam11,ht_tot_11,har11,diam13,ht13,diam15,ht15,biomass06,biomass08,biomass11,biomass13,biomass15
BF,61,1,BS,1.3,0,2,0.2,3,15.6,1,NA,NA,NA,NA,-0.578343937,-0.107330862,0.25299477,NA,NA
BF,61,1,LP,1.8,2.6,3,3,6.5,27.9,1,NA,NA,NA,NA,-0.390729778,0.16479502,0.972661949,NA,NA
BF,61,1,PB,2.5,9.9,4,0.4,NA,NA,0,NA,NA,NA,NA,-0.31499024,0.25241024,NA,NA,NA
BF,61,1,TA,3.4,1.5,5,0.5,7.6,26,1,NA,NA,NA,NA,0.056213205,0.52179488,0.776403866,NA,NA
BF,61,1,WS,1.6,1.4,2,1.5,5,25.8,1,NA,NA,NA,NA,-0.306653828,-0.079098457,0.84237238,NA,NA
BF,61,2,BS,0.8,0,3,0.6,4.3,23.4,1,NA,NA,NA,NA,-1.109192587,0.336000013,0.676647623,NA,NA
BF,61,2,LP,1.9,2.5,2,1.5,3.8,27.1,1,NA,NA,NA,NA,-0.33193147,-0.276149819,0.494916882,NA,NA
BF,61,2,PB,2.5,1.1,4,0.4,8.8,45.5,1,NA,NA,NA,NA,-0.31499024,0.25241024,0.939502975,NA,NA
BF,61,2,TA,2.6,8.8,5,0.6,6.6,49.5,1,NA,NA,NA,NA,-0.267641986,0.52179488,0.844180818,NA,NA
BF,61,2,WS,1.5,2.6,3,1.1,6,37.8,1,NA,NA,NA,NA,-0.372468354,0.334383189,1.124066127,NA,NA
BF,61,3,BS,1.6,0,3,0.6,5.3,32.6,1,NA,NA,NA,NA,-0.351313449,0.336000013,0.94954579,NA,NA
BF,61,3,LP,2.1,2.4,3,0.6,4.7,20,1,NA,NA,NA,NA,-0.223090331,0.16479502,0.584411717,NA,NA
BF,61,3,PB,2.3,0,3,0.1,NA,NA,0,NA,NA,NA,NA,-0.415650665,-0.094886963,NA,NA,NA
BF,61,3,TA,3,0.8,4,0.4,5.5,38.7,0,NA,NA,NA,NA,-0.094886963,0.25241024,0.595668225,NA,NA
BF,61,3,WS,1.7,0,6,0.5,5.6,31.8,1,NA,NA,NA,NA,-0.244830583,1.041234733,1.007111884,NA,NA
BF,61,4,BS,1.4,2.3,2,0.6,7,32.5,1,NA,NA,NA,NA,-0.497315135,-0.107330862,1.163273722,NA,NA
BF,61,4,LP,1.8,1.5,2,0.2,6.5,23.8,1,NA,NA,NA,NA,-0.390729778,-0.276149819,0.925023101,NA,NA
BF,61,4,PB,2.9,1.5,3,0.6,8.8,79.1,1,NA,NA,NA,NA,-0.135813789,-0.094886963,1.145580597,NA,NA
BF,61,4,TA,2.8,1.9,4,0.6,6.2,48.5,1,NA,NA,NA,NA,-0.178176934,0.25241024,0.778910371,NA,NA
BF,61,4,WS,1.7,1.5,3,0.4,5.4,28.1,1,NA,NA,NA,NA,-0.244830583,0.334383189,0.930403092,NA,NA
BF,61,5,BS,1.6,1.9,4,0.8,6.2,24.8,1,NA,NA,NA,NA,-0.351313449,0.650548275,0.982166301,NA,NA
BF,61,5,LP,1.9,2.3,4,0.5,7.1,34.4,1,NA,NA,NA,NA,-0.33193147,0.477650362,1.111472844,NA,NA
BF,61,5,PB,3.3,0.7,5,0.4,NA,NA,0,NA,NA,NA,NA,0.020173939,0.52179488,NA,NA,NA
BF,61,5,TA,3.3,1,4,0.6,4.1,42.5,1,NA,NA,NA,NA,0.020173939,0.25241024,0.348073627,NA,NA
BF,61,5,WS,1.4,2,3,0.5,4.7,23.7,1,NA,NA,NA,NA,-0.442825298,0.334383189,0.76334908,NA,NA
BF,61,6,BS,1.3,0,5,0,2.8,5.5,1,NA,NA,NA,NA,-0.578343937,0.894530862,-0.168620428,NA,NA
BF,61,6,LP,1.5,0.8,3,0.5,5.3,23.4,1,NA,NA,NA,NA,-0.589005161,0.16479502,0.74004345,NA,NA
BF,61,6,PB,3,0.8,5,1,NA,NA,0,NA,NA,NA,NA,-0.094886963,0.52179488,NA,NA,NA
BF,61,6,TA,3,0.7,4,0.5,5,50.6,1,NA,NA,NA,NA,-0.094886963,0.25241024,0.589438386,NA,NA
BF,61,6,WS,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF,61,7,BS,1.5,2,2,2,3.2,27,1,NA,NA,NA,NA,-0.421879124,-0.107330862,0.494771308,NA,NA
BF,61,7,LP,1.4,3.2,3,2,9,41.8,1,NA,NA,NA,NA,-0.66403517,0.16479502,1.370763265,NA,NA
BF,61,7,PB,2.4,0,2,0.5,2.9,17.5,1,NA,NA,NA,NA,-0.364271603,-0.58437488,-0.177133576,NA,NA
BF,61,7,TA,3.1,1.7,4,0.5,4.7,30.6,1,NA,NA,NA,NA,-0.055302245,0.25241024,0.374359903,NA,NA
BF,61,7,WS,2,1.1,4,2.3,5,27.9,1,NA,NA,NA,NA,-0.079098457,0.627753086,0.87673167,NA,NA
BF,61,8,BS,1.7,3.5,2.7,0.5,5.7,49.9,0,7,57,6.5,41,-0.285027187,0.22080004,1.144623334,1.342509635,1.180805113
BF,61,8,LP,3,7.1,8.2,0,9.1,46.5,0,13,55,NA,NA,0.16479502,1.258303853,1.410221906,1.755962306,NA
BF,61,8,PB,2.6,1.1,4.7,0.2,7.2,76.2,0,NA,NA,NA,NA,-0.267641986,0.4470973,0.978188164,NA,NA
BF,61,8,TA,3.3,1.1,4.1,0.7,5.6,62.1,0,6,65,NA,NA,0.020173939,0.282219798,0.760057794,0.83929217,NA
BF,61,8,WS,1.4,0.8,4.4,1.5,6.4,17.9,0,6,16,NA,NA,-0.442825298,0.724947664,0.85574109,0.763176849,NA
BF,61,9,BS,1.4,3.6,4.7,7.5,8.4,71,0,10,79,9.6,61,-0.497315135,0.826877009,1.548242478,1.71068615,1.600875974
BF,61,9,LP,1.6,3.7,3.9,4.5,9,53.6,0,11,58,NA,NA,-0.518819275,0.450117151,1.441042898,1.630659481,NA
BF,61,9,PB,4,0.2,6.5,2,8.7,54.1,0,NA,NA,NA,NA,0.25241024,0.838527774,0.995488671,NA,NA
BF,61,9,TA,3.3,1.2,NA,NA,NA,NA,0,NA,NA,NA,NA,0.020173939,NA,NA,NA,NA
BF,61,9,WS,1.9,2.3,3.1,1,5.4,33.3,0,9,37,NA,NA,-0.131405882,0.367821307,1.00357034,1.369512925,NA
BF,61,10,BS,1.8,1.5,2.9,1,5.9,39.4,0,8,48,14.1,79,-0.222530836,0.298932447,1.093907634,1.388902186,1.965044646
