Latitude: 66.10998  Longitude: -150.1563
X & Y on Lambert Conformal Conic: -2239070.23 3274357.57
Tile: 14055
Elevation: 223 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,8021.03,0.00,0.09,23.91,-39.78,-43.68,12.52
1980,2,8373.63,0.00,0.14,23.91,-38.28,-43.59,12.64
1980,3,8739.76,0.00,0.21,23.91,-37.33,-43.54,12.71
1980,4,9117.70,0.00,0.43,23.91,-28.98,-44.98,10.86
1980,5,9505.93,0.00,0.40,23.91,-20.11,-32.65,39.05
1980,6,9903.17,1.42,0.23,25.33,-17.49,-23.36,92.97
1980,7,10308.26,0.00,0.24,25.33,-18.96,-24.40,84.66
1980,8,10720.23,0.00,0.46,25.33,-20.37,-30.01,50.33
1980,9,11138.20,0.00,0.59,25.33,-21.45,-33.12,37.28
1980,10,11561.43,0.00,0.64,25.33,-29.53,-40.30,18.00
1980,11,11989.27,0.00,0.65,25.33,-35.03,-42.89,13.64
1980,12,12421.13,0.00,1.19,25.33,-34.02,-43.11,13.33
1980,13,12856.51,0.00,1.39,25.33,-32.58,-41.38,16.04
1980,14,13294.98,0.00,1.41,25.33,-30.69,-38.58,21.52
1980,15,13736.14,0.00,1.98,25.33,-31.82,-41.52,15.81
1980,16,14179.63,0.00,2.01,25.33,-33.04,-41.83,15.29
1980,17,14625.16,0.00,2.95,25.33,-24.37,-40.69,17.26
1980,18,15072.45,0.43,4.38,25.76,-6.41,-27.24,65.27
1980,19,15521.26,0.00,3.43,25.76,-1.59,-11.40,255.73
1980,20,15971.37,0.00,4.78,25.76,-1.24,-15.37,184.98
1980,21,16422.57,0.00,4.17,25.76,-0.36,-10.39,277.25
1980,22,16874.71,6.63,4.01,32.39,-2.72,-14.74,194.85
1980,23,17327.61,0.00,8.83,32.39,-14.12,-30.83,46.54
1980,24,17781.15,0.00,9.79,32.39,-23.08,-37.46,24.15
1980,25,18235.18,0.00,9.62,32.39,-21.19,-32.54,39.45
1980,26,18689.59,0.00,8.40,32.39,-18.96,-27.03,66.58
1980,27,19144.29,2.29,9.04,34.68,-12.70,-23.53,91.52
1980,28,19599.17,0.00,11.19,34.68,-13.09,-21.44,110.18
1980,29,20054.14,0.00,15.50,34.68,-13.75,-25.45,76.96
1980,30,20509.14,0.00,17.82,34.68,-22.02,-35.05,30.79
1980,31,20964.09,0.00,16.73,34.68,-27.86,-37.37,24.38
1980,32,21418.93,0.00,23.08,34.68,-23.94,-38.03,22.78
1980,33,21873.60,0.00,23.69,34.68,-16.51,-29.56,52.54
1980,34,22328.06,3.08,13.99,37.76,-15.02,-22.90,96.83
1980,35,22782.24,0.71,30.63,38.47,-8.69,-24.51,83.83
1980,36,23236.12,2.36,23.32,40.84,-4.22,-18.03,147.92
1980,37,23689.65,0.00,32.15,40.84,-2.86,-16.48,168.57
1980,38,24142.81,1.12,32.12,41.95,-2.62,-14.03,206.59
1980,39,24595.56,0.00,42.07,41.95,-7.09,-24.66,82.65
1980,40,25047.88,0.00,38.58,41.95,-4.19,-16.77,164.54
1980,41,25499.75,0.00,35.09,41.95,-1.27,-11.26,258.67
1980,42,25951.14,0.00,39.56,41.95,1.58,-9.25,303.24
1980,43,26402.05,0.00,32.94,41.95,-0.71,-8.48,322.21
1980,44,26852.45,0.00,46.52,41.95,-0.97,-12.48,234.40
1980,45,27302.34,0.00,48.09,41.95,-4.18,-14.92,191.91
1980,46,27751.70,0.00,53.92,41.95,-6.02,-17.93,149.20
1980,47,28200.53,0.00,58.14,41.95,-8.84,-20.92,115.24
1980,48,28648.84,0.00,62.16,41.95,-10.36,-22.29,102.24
1980,49,29096.60,0.00,66.02,41.95,-13.15,-25.30,78.01
1980,50,29543.83,0.00,66.92,41.95,-14.80,-26.19,71.93
1980,51,29990.52,0.00,75.30,41.95,-15.88,-28.75,56.70
1980,52,30436.68,0.00,70.69,41.95,-16.10,-26.69,68.67
1980,53,30882.32,0.00,82.93,41.95,-14.17,-26.92,67.28
1980,54,31327.43,0.00,98.83,41.95,-5.94,-24.47,84.15
1980,55,31772.02,0.80,80.72,42.75,-4.82,-15.62,181.10
1980,56,32216.11,0.00,105.32,42.75,-5.75,-23.29,93.50
1980,57,32659.71,0.00,102.40,42.75,-6.81,-21.44,110.18
1980,58,33102.82,0.00,108.60,42.75,-8.71,-24.34,85.14
1980,59,33545.46,0.00,103.64,42.75,-8.93,-21.83,106.40
1980,60,33987.64,0.00,116.16,42.75,-9.51,-24.75,81.99
1980,61,34429.37,0.00,115.75,42.75,-9.02,-23.24,93.91
1980,62,34870.68,0.00,90.33,42.75,-9.36,-18.41,143.21
1980,63,35311.57,0.00,77.42,42.75,-8.38,-15.50,182.91
1980,64,35752.06,0.00,115.00,42.75,-4.91,-16.50,168.27
1980,65,36192.18,0.00,112.54,42.75,-4.19,-14.76,194.53
1980,66,36631.94,0.00,126.91,42.75,-4.36,-16.47,168.70
1980,67,37071.36,0.00,128.72,42.75,-2.71,-14.40,200.47
1980,68,37510.46,1.11,111.16,43.86,-3.70,-12.70,230.34
1980,69,37949.26,0.00,122.28,43.86,-6.97,-16.49,168.39
1980,70,38387.78,0.81,136.15,44.67,-5.98,-16.62,166.58
1980,71,38826.04,0.43,146.26,45.10,-6.32,-17.77,151.23
1980,72,39264.07,0.00,156.56,45.10,-9.19,-21.37,110.82
1980,73,39701.88,0.00,173.53,45.10,-13.29,-27.58,63.27
1980,74,40139.51,0.00,186.34,45.10,-15.50,-31.54,43.47
1980,75,40576.97,0.00,196.35,45.10,-17.65,-35.17,30.44
1980,76,41014.28,0.00,202.60,45.10,-18.21,-36.32,27.13
1980,77,41451.47,0.00,213.90,45.10,-14.45,-35.35,29.88
1980,78,41888.57,0.00,211.77,45.10,-12.53,-31.30,44.50
1980,79,42325.59,0.00,225.23,45.10,-5.64,-27.97,52.51
1980,80,42762.57,0.00,191.12,45.10,-2.57,-16.44,137.50
1980,81,43199.52,0.00,186.54,45.10,1.25,-11.67,184.61
1980,82,43636.47,0.00,207.03,45.10,2.73,-12.37,156.21
1980,83,44073.45,0.00,221.28,45.10,2.20,-14.45,127.23
1980,84,44510.47,0.00,218.87,45.10,1.30,-14.17,133.00
1980,85,44947.57,0.00,183.55,45.10,0.14,-11.17,192.90
1980,86,45384.76,0.00,189.18,45.10,-2.12,-13.39,166.97
1980,87,45822.08,0.00,218.98,45.10,-1.31,-14.96,130.73
1980,88,46259.54,0.00,229.89,45.10,-1.79,-16.14,115.72
1980,89,46697.16,0.00,243.20,45.10,0.53,-15.13,110.67
