id x y model.climate.tableName model.site.availableNitrogen model.site.soilDepth model.site.pctSand model.site.pctSilt model.site.pctClay model.settings.permafrost.organicLayerDefaultDepth model.settings.permafrost.moss.biomass
1 0 0 TC_1 45 200 32 49 19 0.0248 0.1922
2 1 0 TC_2 45 120 33 49 18 0.1096 0.8494
3 2 0 TC_3 45 127 33 49 18 0.0392 0.3038
4 3 0 TC_4 45 165 35 46 19 0.1304 1.0106
5 4 0 TC_5 45 164 35 46 19 0.028 0.217
6 5 0 TC_6 45 183 34 46 20 0.1232 0.9548
7 6 0 TC_7 45 122 34 48 18 0.172 1.333
8 7 0 TC_8 45 193 33 48 19 0.0864 0.6696
9 8 0 TC_9 45 174 33 54 13 0.0392 0.3038
10 0 1 TC_10 45 200 34 52 14 0.0624 0.4836
11 1 1 TC_11 45 200 37 50 13 0.044 0.341
12 2 1 TC_12 45 192 36 50 14 0.0136 0.1054
13 3 1 TC_13 45 141 35 49 16 0.0904 0.7006
14 4 1 TC_14 45 123 36 49 15 0.0352 0.2728
15 5 1 TC_15 45 172 38 46 16 0.0344 0.2666
16 6 1 TC_16 45 186 40 46 14 0.0904 0.7006
17 7 1 TC_17 45 163 41 46 13 0.22 1.705
18 8 1 TC_18 45 163 41 46 13 0.0904 0.7006
19 0 2 TC_19 45 157 42 45 13 0.06 0.465
20 1 2 TC_20 45 151 40 46 14 0.1 0.775
21 2 2 TC_23 45 174 41 47 12 0.0336 0.2604
22 3 2 TC_24 45 164 46 43 11 0.0656 0.5084
23 4 2 TC_25 45 169 39 51 10 0.1328 1.0292
24 5 2 TC_26 45 164 39 46 15 0.1304 1.0106
25 6 2 TC_27 45 200 38 50 12 0.1464 1.1346
26 7 2 TC_28 45 187 37 51 12 0.0216 0.1674
27 8 2 TC_29 45 154 35 51 14 0.0128 0.0992
28 0 3 DC_30 45 62 44 43 13 0.0168 0.1302
29 1 3 DC_31 45 58 44 43 13 0.0144 0.1116
30 2 3 DC_32 45 63 38 51 11 0.1296 1.0044
31 3 3 DC_33 45 143 34 54 12 0.1128 0.8742
32 4 3 DC_34 45 108 44 44 12 0.104 0.806
33 5 3 DC_35 45 50 42 45 13 0.1584 1.2276
34 6 3 DC_36 45 75 40 47 13 0.0712 0.5518
35 7 3 DC_37 45 139 44 44 12 0.0096 0.0744
36 8 3 DC_38 45 102 41 47 12 0.1072 0.8308
37 0 4 DC_39 45 138 37 48 15 0.0584 0.4526
