"id"	"species"	"count"	"height_from"	"height_to"	"age"
1	"Bene"	12.5	0.016	0.017	1
1	"Bene"	12.5	0.011	0.014	1
1	"Bene"	12.5	0.018	0.027	1
1	"Bene"	12.5	0.018	0.022	1
1	"Bene"	12.5	0.012	0.017	1
1	"Bene"	12.5	0.019	0.024	1
1	"Bene"	12.5	0.01	0.018	1
1	"Bene"	12.5	0.012	0.017	1
1	"Bene"	12.5	0.012	0.015	1
1	"Bene"	12.5	0.012	0.014	1
1	"Bene"	12.5	0.013	0.015	1
1	"Bene"	12.5	0.018	0.022	1
1	"Bene"	12.5	0.013	0.015	1
1	"Bene"	12.5	0.019	0.024	1
1	"Bene"	12.5	0.019	0.024	1
1	"Bene"	12.5	0.02	0.029	1
1	"Bene"	12.5	0.013	0.021	1
1	"Bene"	12.5	0.014	0.018	1
1	"Bene"	12.5	0.02	0.028	1
1	"Bene"	12.5	0.014	0.02	1
8	"Bene"	5.5555555	0.011	0.019	1
8	"Bene"	5.5555555	0.013	0.017	1
8	"Bene"	5.5555555	0.013	0.021	1
8	"Bene"	5.5555555	0.013	0.022	1
8	"Bene"	5.5555555	0.014	0.02	1
8	"Bene"	5.5555555	0.016	0.024	1
8	"Bene"	5.5555555	0.011	0.013	1
8	"Bene"	5.5555555	0.017	0.026	1
8	"Bene"	5.5555555	0.019	0.021	1
8	"Bene"	5.5555555	0.014	0.022	1
8	"Bene"	5.5555555	0.013	0.02	1
8	"Bene"	5.5555555	0.018	0.028	1
8	"Bene"	5.5555555	0.014	0.019	1
8	"Bene"	5.5555555	0.012	0.018	1
8	"Bene"	5.5555555	0.012	0.017	1
8	"Bene"	5.5555555	0.011	0.02	1
8	"Bene"	5.5555555	0.019	0.02	1
8	"Bene"	5.5555555	0.013	0.015	1
8	"Bene"	5.5555555	0.013	0.016	1
8	"Bene"	5.5555555	0.01	0.017	1
9	"Bene"	25	0.018	0.024	1
9	"Bene"	25	0.019	0.024	1
9	"Bene"	25	0.02	0.03	1
9	"Bene"	25	0.014	0.022	1
9	"Bene"	25	0.017	0.02	1
9	"Bene"	25	0.018	0.027	1
9	"Bene"	25	0.015	0.017	1
9	"Bene"	25	0.011	0.016	1
9	"Bene"	25	0.011	0.021	1
9	"Bene"	25	0.018	0.027	1
9	"Bene"	25	0.011	0.017	1
9	"Bene"	25	0.017	0.021	1
9	"Bene"	25	0.013	0.015	1
